model,method,sft_lr,grpo_kl,exp_name,dataset,step,mean_at_1,mean_at_32
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,600,0.406,0.47358750000000316
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,750,0.41,0.4745312500000044
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,900,0.45,0.5015906250000033
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,1050,0.446,0.4996812500000039
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,1200,0.401,0.4605562500000035
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,1400,0.397,0.47321875000000385
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced5,1600,0.428,0.48716250000000344
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,150,0.04,0.1327312499999976
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,300,0.041,0.13700937499999746
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,450,0.044,0.14494062499999752
